Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Male,Country,GDP origin,GDP,Timestamp,Clicked on Ad,Ad Topic Line,Region,Month,DayOfWeek,Hour
68.95,35,61833.9,256.09,0,Tunisia,44360754190,-0.21,3/27/2016 0:53,0,Cloned,Africa,M3,D1,H0
80.23,31,68441.85,193.77,1,Nauru,99723395,-0.25,4/4/2016 1:39,0,Monitored,Oceania,M4,D2,H1
69.47,26,59785.94,236.5,0,San Marino,1468377272,-0.25,3/13/2016 20:35,0,Organic,Europe,M3,D1,H20
74.15,29,54806.18,245.89,1,Italy,1.88E+12,1.63,1/10/2016 2:31,0,Triple-buffered,Europe,M1,D1,H2
68.37,35,73889.99,225.58,0,Iceland,20793168031,-0.23,6/3/2016 3:36,0,Robust,Europe,M6,D6,H3
59.99,23,59761.56,226.74,1,Norway,3.69E+11,0.12,5/19/2016 14:30,0,Sharable,Europe,M5,D5,H14
88.91,33,53852.85,208.36,0,Myanmar,60291736894,-0.19,1/28/2016 20:59,0,Enhanced,Asia,M1,D5,H20
66,48,24593.33,131.76,1,Australia,1.21E+12,0.96,3/7/2016 1:40,1,Reactive,Oceania,M3,D2,H1
74.53,30,68862,221.51,1,Grenada,1061640741,-0.25,4/18/2016 9:33,0,Configurable,North America,M4,D2,H9
69.88,20,55642.32,183.82,1,Ghana,56165172899,-0.2,7/11/2016 1:42,0,Mandatory,Africa,M7,D2,H1
47.64,49,45632.51,122.02,0,Qatar,1.52E+11,-0.1,3/16/2016 20:19,1,Centralized,Asia,M3,D4,H20
83.07,37,62491.01,230.87,1,Burundi,2639321161,-0.25,5/8/2016 8:10,0,Team-oriented,Africa,M5,D1,H8
69.57,48,51636.92,113.12,1,Egypt,3.32E+11,0.08,6/3/2016 1:14,1,Centralized,Africa,M6,D6,H1
79.52,24,51739.63,214.23,0,Bosnia and Herzegovina,16913330977,-0.24,4/20/2016 21:49,0,Synergistic,Europe,M4,D4,H21
42.95,33,30976,143.56,0,Barbados,4832811750,-0.25,3/24/2016 9:31,1,Grass-roots,North America,M3,D5,H9
63.45,23,52182.23,140.64,1,Spain,1.23E+12,0.98,3/9/2016 3:41,1,Persistent,Europe,M3,D4,H3
55.39,37,23936.86,129.41,0,Palestinian Territory,73215012755,-0.18,1/30/2016 19:20,1,Customizable,Asia,M1,D7,H19
82.03,41,71511.08,187.53,0,Afghanistan,18019558182,-0.24,5/2/2016 7:00,0,Intuitive,Asia,M5,D2,H7
54.7,36,31087.54,118.39,1,British Indian Ocean Territory (Chagos Archipelago),73215012755,-0.18,2/13/2016 7:53,1,Grass-roots,Asia,M2,D7,H7
74.58,40,23821.72,135.51,1,Russian Federation,1.28E+12,1.03,2/27/2016 4:43,1,Advanced,Europe,M2,D7,H4
77.22,30,64802.33,224.44,1,Cameroon,33814337900,-0.22,1/5/2016 7:52,0,Object-based,Africa,M1,D3,H7
